statistics,Mean,Median,Range,Std,,statistics,Mean,Median,Range,Std
feature_65,1.051021034,1.0725,2.581274,0.516281368,,feature_65,1.05,1.07,2.58,0.52
feature_66,1.055080481,1.0793,2.558441,0.518837639,,feature_66,1.06,1.08,2.56,0.52
feature_67,1.0574326,1.0792,2.553475,0.519307666,,feature_67,1.06,1.08,2.55,0.52
feature_68,1.061156664,1.0792,2.554433,0.520942152,,feature_68,1.06,1.08,2.55,0.52
feature_69,1.063885387,1.0818,2.534611,0.520776633,,feature_69,1.06,1.08,2.53,0.52
feature_70,1.067676885,1.0849,2.550719,0.52210546,,feature_70,1.07,1.08,2.55,0.52
feature_71,1.071067284,1.0878,2.531316,0.522422658,,feature_71,1.07,1.09,2.53,0.52
feature_72,1.07540835,1.0939,2.546229,0.524034339,,feature_72,1.08,1.09,2.55,0.52
feature_73,1.079945506,1.1011,2.616544,0.525618679,,feature_73,1.08,1.1,2.62,0.53
feature_74,1.083677541,1.1061,2.648264,0.525588165,,feature_74,1.08,1.11,2.65,0.53
feature_75,1.088622131,1.1047,2.682965,0.527057717,,feature_75,1.09,1.1,2.68,0.53
feature_76,1.094727256,1.1161,2.670652,0.528926319,,feature_76,1.09,1.12,2.67,0.53
feature_77,1.102037894,1.1243,2.659589,0.531142656,,feature_77,1.1,1.12,2.66,0.53
feature_78,1.107528933,1.1347,2.699253,0.531563717,,feature_78,1.11,1.13,2.7,0.53
feature_79,1.114386397,1.1473,2.750489,0.533104358,,feature_79,1.11,1.15,2.75,0.53
feature_80,1.122051259,1.1505,2.78875,0.535698468,,feature_80,1.12,1.15,2.79,0.54
feature_81,1.130499608,1.1542,2.75469,0.538367746,,feature_81,1.13,1.15,2.75,0.54
feature_82,1.139979916,1.1742,2.78998,0.54122018,,feature_82,1.14,1.17,2.79,0.54
feature_83,1.148381944,1.1794,2.77772,0.542903994,,feature_83,1.15,1.18,2.78,0.54
feature_84,1.157016182,1.1889,2.78617,0.545232727,,feature_84,1.16,1.19,2.79,0.55
feature_85,1.167496895,1.2026,2.83704,0.548732792,,feature_85,1.17,1.2,2.84,0.55
feature_86,1.176983455,1.2192,2.89578,0.551296102,,feature_86,1.18,1.22,2.9,0.55
feature_87,1.18603042,1.2303,2.92011,0.55288523,,feature_87,1.19,1.23,2.92,0.55
feature_88,1.197403133,1.2445,2.92719,0.557055278,,feature_88,1.2,1.24,2.93,0.56
feature_89,1.209724643,1.2623,2.94607,0.561024673,,feature_89,1.21,1.26,2.95,0.56
feature_90,1.221383217,1.2814,2.97367,0.564748759,,feature_90,1.22,1.28,2.97,0.56
feature_91,1.23468035,1.3032,2.99497,0.569040661,,feature_91,1.23,1.3,2.99,0.57
feature_92,1.247880224,1.325,3.01528,0.573121741,,feature_92,1.25,1.33,3.02,0.57
feature_93,1.260685678,1.3397,3.04724,0.577143316,,feature_93,1.26,1.34,3.05,0.58
feature_94,1.266678797,1.3605,3.03725,0.574887904,,feature_94,1.27,1.36,3.04,0.57
feature_95,1.278369552,1.3815,3.1447,0.57853737,,feature_95,1.28,1.38,3.14,0.58
feature_96,1.291856853,1.4016,3.17737,0.583054988,,feature_96,1.29,1.4,3.18,0.58
feature_97,1.302949566,1.4121,3.24698,0.585699162,,feature_97,1.3,1.41,3.25,0.59
feature_98,1.315949091,1.4101,3.2793,0.590024466,,feature_98,1.32,1.41,3.28,0.59
feature_99,1.329038378,1.4344,3.31394,0.594389845,,feature_99,1.33,1.43,3.31,0.59
feature_100,1.34150772,1.4576,3.39117,0.59820343,,feature_100,1.34,1.46,3.39,0.6
feature_101,1.354775399,1.4701,3.455,0.602321426,,feature_101,1.35,1.47,3.46,0.6
feature_102,1.368128923,1.489,3.52688,0.606857142,,feature_102,1.37,1.49,3.53,0.61
feature_103,1.380005231,1.5048,3.61003,0.611288281,,feature_103,1.38,1.5,3.61,0.61
feature_104,1.393426448,1.5257,3.69944,0.616406009,,feature_104,1.39,1.53,3.7,0.62
feature_105,1.404905916,1.547,3.74019,0.620472288,,feature_105,1.4,1.55,3.74,0.62
feature_106,1.416010629,1.5498,3.72741,0.624314371,,feature_106,1.42,1.55,3.73,0.62
feature_107,1.428514657,1.5652,3.79895,0.62995756,,feature_107,1.43,1.57,3.8,0.63
feature_108,1.440600056,1.5796,3.9187,0.635678846,,feature_108,1.44,1.58,3.92,0.64
feature_109,1.45205572,1.5973,4.04831,0.640215571,,feature_109,1.45,1.6,4.05,0.64
feature_110,1.462642322,1.6155,4.23757,0.645492824,,feature_110,1.46,1.62,4.24,0.65
feature_111,1.472927301,1.6276,4.35331,0.651214908,,feature_111,1.47,1.63,4.35,0.65
feature_112,1.481527497,1.6367,4.46291,0.654042511,,feature_112,1.48,1.64,4.46,0.65
feature_113,1.490704643,1.6555,4.41363,0.658044536,,feature_113,1.49,1.66,4.41,0.66
feature_114,1.497681678,1.6694,4.43853,0.659732215,,feature_114,1.5,1.67,4.44,0.66
feature_115,1.504058336,1.6667,4.42781,0.662152901,,feature_115,1.5,1.67,4.43,0.66
feature_116,1.510935007,1.6678,4.44417,0.665549813,,feature_116,1.51,1.67,4.44,0.67
feature_117,1.516821972,1.6701,4.75518,0.670898897,,feature_117,1.52,1.67,4.76,0.67
feature_118,1.521475455,1.6795,4.75106,0.672899747,,feature_118,1.52,1.68,4.75,0.67
feature_119,1.525636154,1.6815,4.86939,0.675203375,,feature_119,1.53,1.68,4.87,0.68
feature_120,1.529371287,1.6887,4.87762,0.676180711,,feature_120,1.53,1.69,4.88,0.68
feature_121,1.531848042,1.6861,4.79347,0.677199264,,feature_121,1.53,1.69,4.79,0.68
feature_122,1.534221902,1.6891,4.7789,0.678577565,,feature_122,1.53,1.69,4.78,0.68
feature_123,1.536753524,1.6943,5.01679,0.679574783,,feature_123,1.54,1.69,5.02,0.68
feature_124,1.538232629,1.6918,4.84485,0.678943788,,feature_124,1.54,1.69,4.84,0.68
feature_125,1.538798378,1.6983,4.95084,0.679260282,,feature_125,1.54,1.7,4.95,0.68
feature_126,1.539756615,1.7026,4.92121,0.679444773,,feature_126,1.54,1.7,4.92,0.68
feature_127,1.540074993,1.7122,5.10342,0.681648706,,feature_127,1.54,1.71,5.1,0.68
feature_128,1.538229147,1.7082,5.09395,0.679340512,,feature_128,1.54,1.71,5.09,0.68
feature_129,1.536197441,1.7003,4.96903,0.677101001,,feature_129,1.54,1.7,4.97,0.68
feature_130,1.532783776,1.7036,4.91711,0.675642283,,feature_130,1.53,1.7,4.92,0.68
feature_131,1.529147692,1.6986,4.9566,0.674838771,,feature_131,1.53,1.7,4.96,0.67
feature_132,1.52527386,1.6923,4.83097,0.671145125,,feature_132,1.53,1.69,4.83,0.67
feature_133,1.521276797,1.6838,4.71738,0.668831181,,feature_133,1.52,1.68,4.72,0.67
feature_134,1.516814224,1.6759,4.84655,0.667567683,,feature_134,1.52,1.68,4.85,0.67
feature_135,1.512042811,1.6774,4.80618,0.664530112,,feature_135,1.51,1.68,4.81,0.66
feature_136,1.50699979,1.6667,4.74189,0.660829373,,feature_136,1.51,1.67,4.74,0.66
feature_137,1.500833608,1.6544,4.62753,0.6562582,,feature_137,1.5,1.65,4.63,0.66
feature_138,1.495113441,1.6428,4.53279,0.652580542,,feature_138,1.5,1.64,4.53,0.65
feature_139,1.490144462,1.6436,4.47749,0.649967918,,feature_139,1.49,1.64,4.48,0.65
feature_140,1.484856503,1.6312,4.53124,0.647200548,,feature_140,1.48,1.63,4.53,0.65
feature_141,1.479958378,1.6188,4.53239,0.644211586,,feature_141,1.48,1.62,4.53,0.64
feature_142,1.475540392,1.6055,4.73973,0.643253233,,feature_142,1.48,1.61,4.74,0.64
feature_143,1.470757846,1.5929,4.5986,0.639744333,,feature_143,1.47,1.59,4.6,0.64
feature_144,1.46618042,1.5805,4.84883,0.638650701,,feature_144,1.47,1.58,4.85,0.64
feature_145,1.46260351,1.5684,4.73847,0.636442334,,feature_145,1.46,1.57,4.74,0.64
feature_146,1.458468308,1.5609,4.50461,0.631945903,,feature_146,1.46,1.56,4.5,0.63
feature_147,1.455204545,1.5575,4.50484,0.630197954,,feature_147,1.46,1.56,4.5,0.63
feature_148,1.452948909,1.5545,4.36681,0.62871256,,feature_148,1.45,1.55,4.37,0.63
feature_149,1.450187189,1.5557,4.36323,0.627203922,,feature_149,1.45,1.56,4.36,0.63
feature_150,1.448586406,1.5509,4.39323,0.626498587,,feature_150,1.45,1.55,4.39,0.63
feature_151,1.447534336,1.5527,4.44283,0.62617776,,feature_151,1.45,1.55,4.44,0.63
feature_152,1.446935133,1.5516,4.25771,0.624817576,,feature_152,1.45,1.55,4.26,0.62
feature_153,1.446474825,1.556,4.26574,0.62358651,,feature_153,1.45,1.56,4.27,0.62
feature_154,1.44599972,1.5539,4.20272,0.621963625,,feature_154,1.45,1.55,4.2,0.62
feature_155,1.446186378,1.5574,4.10602,0.620896156,,feature_155,1.45,1.56,4.11,0.62
feature_156,1.447476657,1.5507,4.13024,0.620194066,,feature_156,1.45,1.55,4.13,0.62
feature_157,1.448335538,1.5487,4.16248,0.620468463,,feature_157,1.45,1.55,4.16,0.62
feature_158,1.450822168,1.5519,4.17243,0.620607401,,feature_158,1.45,1.55,4.17,0.62
feature_159,1.455636531,1.556,4.15806,0.621541334,,feature_159,1.46,1.56,4.16,0.62
feature_160,1.460062727,1.5631,4.10498,0.622500254,,feature_160,1.46,1.56,4.1,0.62
feature_161,1.464705273,1.5703,4.08862,0.623295047,,feature_161,1.46,1.57,4.09,0.62
feature_162,1.469927147,1.5693,4.10047,0.624617207,,feature_162,1.47,1.57,4.1,0.62
feature_163,1.475880196,1.5794,4.09276,0.625974335,,feature_163,1.48,1.58,4.09,0.63
feature_164,1.482368364,1.5897,4.10492,0.627992258,,feature_164,1.48,1.59,4.1,0.63
feature_165,1.48868151,1.6021,4.10983,0.62954272,,feature_165,1.49,1.6,4.11,0.63
feature_166,1.495715776,1.6105,4.12761,0.63099706,,feature_166,1.5,1.61,4.13,0.63
feature_167,1.503224224,1.6158,4.14557,0.632941026,,feature_167,1.5,1.62,4.15,0.63
feature_168,1.510532042,1.6301,4.20459,0.63481001,,feature_168,1.51,1.63,4.2,0.63
feature_169,1.517750825,1.6444,4.21142,0.636396041,,feature_169,1.52,1.64,4.21,0.64
feature_170,1.526136951,1.6583,4.27142,0.639212909,,feature_170,1.53,1.66,4.27,0.64
feature_171,1.53465572,1.671,4.20579,0.641453307,,feature_171,1.53,1.67,4.21,0.64
feature_172,1.543028126,1.6809,4.27621,0.645474652,,feature_172,1.54,1.68,4.28,0.65
feature_173,1.551295189,1.6866,4.26788,0.647571285,,feature_173,1.55,1.69,4.27,0.65
feature_174,1.558467399,1.7034,4.25245,0.649446104,,feature_174,1.56,1.7,4.25,0.65
feature_175,1.565589315,1.7124,4.24783,0.651692604,,feature_175,1.57,1.71,4.25,0.65
feature_176,1.572008098,1.7262,4.23889,0.653525118,,feature_176,1.57,1.73,4.24,0.65
feature_177,1.577903734,1.7303,4.28345,0.655145297,,feature_177,1.58,1.73,4.28,0.66
feature_178,1.582232503,1.7338,4.19885,0.65520311,,feature_178,1.58,1.73,4.2,0.66
feature_179,1.584978,1.7435,4.24154,0.655589453,,feature_179,1.58,1.74,4.24,0.66
feature_180,1.586742713,1.7519,4.23179,0.654733585,,feature_180,1.59,1.75,4.23,0.65
feature_181,1.586995105,1.7503,4.23875,0.653155204,,feature_181,1.59,1.75,4.24,0.65
feature_182,1.586186993,1.7486,4.20838,0.651486168,,feature_182,1.59,1.75,4.21,0.65
feature_183,1.585301273,1.7477,4.19116,0.651231223,,feature_183,1.59,1.75,4.19,0.65
feature_184,1.581786979,1.7397,4.13134,0.647896489,,feature_184,1.58,1.74,4.13,0.65
feature_185,1.575163804,1.7313,4.04459,0.643486753,,feature_185,1.58,1.73,4.04,0.64
feature_186,1.569020238,1.718,3.89862,0.639286214,,feature_186,1.57,1.72,3.9,0.64
feature_187,1.560132601,1.7053,3.8167,0.634803556,,feature_187,1.56,1.71,3.82,0.63
feature_188,1.548607203,1.6918,3.74956,0.629220018,,feature_188,1.55,1.69,3.75,0.63
feature_189,1.53434842,1.6696,3.68817,0.622063834,,feature_189,1.53,1.67,3.69,0.62
feature_190,1.519456713,1.6497,3.61361,0.615113768,,feature_190,1.52,1.65,3.61,0.62
feature_191,1.501634126,1.6291,3.54621,0.606696788,,feature_191,1.5,1.63,3.55,0.61
feature_192,1.482517986,1.599,3.47442,0.598839594,,feature_192,1.48,1.6,3.47,0.6
feature_193,1.46176772,1.5646,3.35212,0.589818616,,feature_193,1.46,1.56,3.35,0.59
feature_194,1.438459944,1.5335,3.23746,0.580059841,,feature_194,1.44,1.53,3.24,0.58
feature_195,1.414491147,1.5115,3.11729,0.570705163,,feature_195,1.41,1.51,3.12,0.57
feature_196,1.388743147,1.4746,3.03807,0.560996713,,feature_196,1.39,1.47,3.04,0.56
feature_197,1.361030923,1.4314,2.89584,0.549995848,,feature_197,1.36,1.43,2.9,0.55
feature_198,1.332348,1.3884,2.78513,0.538925888,,feature_198,1.33,1.39,2.79,0.54
feature_199,1.302921706,1.3515,2.67234,0.52828383,,feature_199,1.3,1.35,2.67,0.53
feature_200,1.271384056,1.3172,2.57842,0.516745865,,feature_200,1.27,1.32,2.58,0.52
feature_201,1.240247217,1.2739,2.47704,0.505648712,,feature_201,1.24,1.27,2.48,0.51
feature_202,1.209158587,1.228,2.39381,0.495685751,,feature_202,1.21,1.23,2.39,0.5
feature_203,1.177174769,1.1973,2.29518,0.484915146,,feature_203,1.18,1.2,2.3,0.48
feature_204,1.145165105,1.1629,2.2012,0.474449425,,feature_204,1.15,1.16,2.2,0.47
feature_205,1.113030867,1.1175,2.11409,0.464278179,,feature_205,1.11,1.12,2.11,0.46
feature_206,1.08059835,1.0869,2.02022,0.453871084,,feature_206,1.08,1.09,2.02,0.45
feature_207,1.048678671,1.0616,1.95856,0.444146725,,feature_207,1.05,1.06,1.96,0.44
feature_208,1.017308741,1.0294,1.88236,0.434894242,,feature_208,1.02,1.03,1.88,0.43
feature_209,0.985302573,0.99403,1.82395,0.425039161,,feature_209,0.99,0.99,1.82,0.43
feature_210,0.954240028,0.96155,1.7601,0.416194074,,feature_210,0.95,0.96,1.76,0.42
feature_211,0.923536853,0.92481,1.7036,0.407098263,,feature_211,0.92,0.92,1.7,0.41
feature_212,0.892359776,0.89079,1.64391,0.397217464,,feature_212,0.89,0.89,1.64,0.4
feature_213,0.86264372,0.86209,1.58364,0.388668112,,feature_213,0.86,0.86,1.58,0.39
feature_214,0.834286476,0.83148,1.52736,0.380858753,,feature_214,0.83,0.83,1.53,0.38
feature_215,0.805255021,0.80186,1.47858,0.371683208,,feature_215,0.81,0.8,1.48,0.37
feature_216,0.777556098,0.76907,1.41238,0.363553625,,feature_216,0.78,0.77,1.41,0.36
feature_217,0.749984755,0.74506,1.36409,0.35501395,,feature_217,0.75,0.75,1.36,0.36
feature_218,0.723987664,0.71799,1.31224,0.347371568,,feature_218,0.72,0.72,1.31,0.35
feature_219,0.69830421,0.6839,1.27685,0.339690113,,feature_219,0.7,0.68,1.28,0.34
feature_220,0.67320007,0.6558,1.22789,0.331776535,,feature_220,0.67,0.66,1.23,0.33
feature_221,0.649094892,0.6326,1.182232,0.323962424,,feature_221,0.65,0.63,1.18,0.32
feature_222,0.62505092,0.60727,1.140247,0.315566016,,feature_222,0.63,0.61,1.14,0.32
feature_223,0.603124839,0.57814,1.105197,0.30872364,,feature_223,0.6,0.58,1.11,0.31
feature_224,0.581321403,0.55548,1.062025,0.301416011,,feature_224,0.58,0.56,1.06,0.3
feature_225,0.560044021,0.53686,1.025566,0.293614583,,feature_225,0.56,0.54,1.03,0.29
feature_226,0.539950088,0.51341,0.997271,0.286738384,,feature_226,0.54,0.51,1,0.29
feature_227,0.520479531,0.49337,0.983734,0.279925479,,feature_227,0.52,0.49,0.98,0.28
feature_228,0.50149315,0.47463,0.957021,0.273073542,,feature_228,0.5,0.47,0.96,0.27
feature_229,0.483997852,0.45039,0.939415,0.266978645,,feature_229,0.48,0.45,0.94,0.27
feature_230,0.46660625,0.43448,0.919738,0.260491695,,feature_230,0.47,0.43,0.92,0.26
feature_231,0.450110214,0.41658,0.898265,0.254435326,,feature_231,0.45,0.42,0.9,0.25
feature_232,0.434234952,0.39908,0.872369,0.248050571,,feature_232,0.43,0.4,0.87,0.25
feature_233,0.419180357,0.3842,0.856316,0.24233408,,feature_233,0.42,0.38,0.86,0.24
feature_234,0.404781757,0.36864,0.842174,0.236887001,,feature_234,0.4,0.37,0.84,0.24
