statistics,Mean,Median,Range,Std,,statistics,Mean,Median,Range,Std
feature_284,0.081147852,0.055009,0.362,0.076294201,,feature_284,0.08,0.06,0.36,0.08
feature_285,0.078679052,0.053502,0.36109,0.074411232,,feature_285,0.08,0.05,0.36,0.07
feature_286,0.076584978,0.050724,0.35376,0.072520883,,feature_286,0.08,0.05,0.35,0.07
feature_287,0.074314844,0.048786,0.34276,0.070643478,,feature_287,0.07,0.05,0.34,0.07
feature_288,0.072290277,0.047689,0.33456,0.069034195,,feature_288,0.07,0.05,0.33,0.07
feature_289,0.070406476,0.046541,0.33337,0.067782183,,feature_289,0.07,0.05,0.33,0.07
feature_290,0.068198425,0.044765,0.3327,0.065850859,,feature_290,0.07,0.04,0.33,0.07
feature_291,0.065625896,0.043354,0.32738,0.063464368,,feature_291,0.07,0.04,0.33,0.06
feature_292,0.063587064,0.042403,0.33184,0.062071223,,feature_292,0.06,0.04,0.33,0.06
feature_293,0.061502575,0.039018,0.33353,0.060501465,,feature_293,0.06,0.04,0.33,0.06
feature_294,0.059637407,0.038528,0.31949,0.059038292,,feature_294,0.06,0.04,0.32,0.06
feature_295,0.057851603,0.037755,0.31173,0.057411393,,feature_295,0.06,0.04,0.31,0.06
feature_296,0.056150692,0.03485,0.31117,0.056100434,,feature_296,0.06,0.03,0.31,0.06
feature_297,0.054489728,0.034767,0.30314,0.054373483,,feature_297,0.05,0.03,0.3,0.05
feature_298,0.05289609,0.033751,0.28017,0.052965865,,feature_298,0.05,0.03,0.28,0.05
feature_299,0.051576659,0.03127,0.27165,0.051990629,,feature_299,0.05,0.03,0.27,0.05
feature_300,0.050130602,0.030582,0.27201,0.050682303,,feature_300,0.05,0.03,0.27,0.05
feature_301,0.048703719,0.029876,0.27122,0.04934519,,feature_301,0.05,0.03,0.27,0.05
feature_302,0.047242049,0.028584,0.2564,0.047723451,,feature_302,0.05,0.03,0.26,0.05
feature_303,0.046105846,0.027632,0.25388,0.046889993,,feature_303,0.05,0.03,0.25,0.05
feature_304,0.044786905,0.027458,0.256,0.045762374,,feature_304,0.04,0.03,0.26,0.05
feature_305,0.043547417,0.025383,0.25756,0.04456243,,feature_305,0.04,0.03,0.26,0.04
feature_306,0.0425862,0.025676,0.25771,0.043706184,,feature_306,0.04,0.03,0.26,0.04
feature_307,0.041521978,0.025246,0.24149,0.042488541,,feature_307,0.04,0.03,0.24,0.04
feature_308,0.04065968,0.024432,0.23573,0.041476563,,feature_308,0.04,0.02,0.24,0.04
feature_309,0.039899487,0.024332,0.23335,0.040559529,,feature_309,0.04,0.02,0.23,0.04
feature_310,0.038922471,0.024816,0.22925,0.039479885,,feature_310,0.04,0.02,0.23,0.04
feature_311,0.038443833,0.024175,0.22718,0.038860687,,feature_311,0.04,0.02,0.23,0.04
feature_312,0.037931266,0.024351,0.22128,0.038068544,,feature_312,0.04,0.02,0.22,0.04
feature_313,0.036846624,0.023431,0.21482,0.036959344,,feature_313,0.04,0.02,0.21,0.04
feature_314,0.036019537,0.023978,0.20683,0.035610727,,feature_314,0.04,0.02,0.21,0.04
feature_315,0.035292179,0.023525,0.2112,0.034833663,,feature_315,0.04,0.02,0.21,0.03
feature_316,0.034603313,0.023091,0.20819,0.034256,,feature_316,0.03,0.02,0.21,0.03
feature_317,0.03367034,0.022674,0.20655,0.033268179,,feature_317,0.03,0.02,0.21,0.03
feature_318,0.033084887,0.022863,0.20472,0.032339278,,feature_318,0.03,0.02,0.2,0.03
feature_319,0.032722286,0.022698,0.20654,0.031648269,,feature_319,0.03,0.02,0.21,0.03
feature_320,0.03249488,0.023176,0.20982,0.031229915,,feature_320,0.03,0.02,0.21,0.03
feature_321,0.032045437,0.022787,0.21684,0.030412569,,feature_321,0.03,0.02,0.22,0.03
feature_322,0.031925717,0.022408,0.2159,0.030041476,,feature_322,0.03,0.02,0.22,0.03
feature_323,0.031858781,0.023109,0.19782,0.029546182,,feature_323,0.03,0.02,0.2,0.03
feature_324,0.031800213,0.023108,0.20658,0.029194632,,feature_324,0.03,0.02,0.21,0.03
feature_325,0.031876538,0.022935,0.2045,0.028655144,,feature_325,0.03,0.02,0.2,0.03
feature_326,0.031983337,0.022893,0.217,0.028576434,,feature_326,0.03,0.02,0.22,0.03
feature_327,0.031874623,0.023143,0.21089,0.028103294,,feature_327,0.03,0.02,0.21,0.03
feature_328,0.031837637,0.023754,0.20296,0.027692608,,feature_328,0.03,0.02,0.2,0.03
feature_329,0.032073289,0.024481,0.20224,0.027408016,,feature_329,0.03,0.02,0.2,0.03
feature_330,0.032331475,0.024653,0.20354,0.02719697,,feature_330,0.03,0.02,0.2,0.03
feature_331,0.032689709,0.02448,0.19977,0.027148496,,feature_331,0.03,0.02,0.2,0.03
feature_332,0.032785163,0.025075,0.19514,0.02669504,,feature_332,0.03,0.03,0.2,0.03
feature_333,0.033091689,0.025475,0.20756,0.026829487,,feature_333,0.03,0.03,0.21,0.03
feature_334,0.033016367,0.025597,0.20856,0.026645089,,feature_334,0.03,0.03,0.21,0.03
feature_335,0.033124883,0.026363,0.19875,0.02616009,,feature_335,0.03,0.03,0.2,0.03
feature_336,0.033267135,0.026734,0.19859,0.025910464,,feature_336,0.03,0.03,0.2,0.03
feature_337,0.033325879,0.027484,0.2122,0.025594771,,feature_337,0.03,0.03,0.21,0.03
feature_338,0.033301508,0.027753,0.20297,0.025267681,,feature_338,0.03,0.03,0.2,0.03
feature_339,0.033581319,0.027962,0.20251,0.025009143,,feature_339,0.03,0.03,0.2,0.03
feature_340,0.033792939,0.028095,0.20779256,0.024963133,,feature_340,0.03,0.03,0.21,0.02
feature_341,0.034072718,0.028644,0.20443,0.024994868,,feature_341,0.03,0.03,0.2,0.02
feature_342,0.034603365,0.029541,0.2089,0.025067995,,feature_342,0.03,0.03,0.21,0.03
feature_343,0.03509974,0.0297,0.20054256,0.025427843,,feature_343,0.04,0.03,0.2,0.03
feature_344,0.035300596,0.030103,0.18926,0.025362067,,feature_344,0.04,0.03,0.19,0.03
feature_345,0.035662985,0.02981,0.18952,0.025394898,,feature_345,0.04,0.03,0.19,0.03
feature_346,0.036263676,0.030453,0.20465,0.025688789,,feature_346,0.04,0.03,0.2,0.03
feature_347,0.036729258,0.031563,0.208140712,0.025840007,,feature_347,0.04,0.03,0.21,0.03
feature_348,0.036961906,0.032143,0.21275,0.025763307,,feature_348,0.04,0.03,0.21,0.03
feature_349,0.037270995,0.032749,0.1965521,0.025730888,,feature_349,0.04,0.03,0.2,0.03
feature_350,0.037750975,0.033221,0.19974198,0.025867939,,feature_350,0.04,0.03,0.2,0.03
feature_351,0.037676716,0.032912,0.1980266,0.025756631,,feature_351,0.04,0.03,0.2,0.03
feature_352,0.03774553,0.033035,0.1933,0.025614436,,feature_352,0.04,0.03,0.19,0.03
feature_353,0.037562199,0.03304,0.17836,0.025352786,,feature_353,0.04,0.03,0.18,0.03
feature_354,0.037633369,0.032936,0.18157572,0.025461734,,feature_354,0.04,0.03,0.18,0.03
feature_355,0.037605863,0.033494,0.17462,0.025147967,,feature_355,0.04,0.03,0.17,0.03
feature_356,0.037849047,0.033837,0.17867943,0.025167801,,feature_356,0.04,0.03,0.18,0.03
feature_357,0.038154542,0.033824,0.17762,0.025222728,,feature_357,0.04,0.03,0.18,0.03
feature_358,0.038152902,0.034432,0.17855,0.025086148,,feature_358,0.04,0.03,0.18,0.03
feature_359,0.038217794,0.034164,0.18625,0.024953456,,feature_359,0.04,0.03,0.19,0.02
feature_360,0.038199877,0.034304,0.18784,0.025110861,,feature_360,0.04,0.03,0.19,0.03
feature_361,0.038311778,0.033513,0.19123,0.025622916,,feature_361,0.04,0.03,0.19,0.03
feature_362,0.038385115,0.03312,0.19471,0.025700801,,feature_362,0.04,0.03,0.19,0.03
feature_363,0.038845924,0.034041,0.19515,0.025798747,,feature_363,0.04,0.03,0.2,0.03
feature_364,0.039099526,0.034501,0.20156447,0.026069803,,feature_364,0.04,0.03,0.2,0.03
feature_365,0.039210643,0.034436,0.20726,0.026508421,,feature_365,0.04,0.03,0.21,0.03
feature_366,0.03943337,0.034609,0.20844,0.026889596,,feature_366,0.04,0.03,0.21,0.03
feature_367,0.039991426,0.034566,0.21517,0.027244634,,feature_367,0.04,0.03,0.22,0.03
feature_368,0.040268944,0.035099,0.21560049,0.02746955,,feature_368,0.04,0.04,0.22,0.03
feature_369,0.040427803,0.035366,0.2198,0.027867504,,feature_369,0.04,0.04,0.22,0.03
feature_370,0.040636576,0.034791,0.21193,0.028131812,,feature_370,0.04,0.03,0.21,0.03
feature_371,0.040745615,0.035384,0.22075,0.028600451,,feature_371,0.04,0.04,0.22,0.03
feature_372,0.040708762,0.034831,0.22372,0.028980202,,feature_372,0.04,0.03,0.22,0.03
feature_373,0.040942081,0.035338,0.22002,0.029159862,,feature_373,0.04,0.04,0.22,0.03
feature_374,0.041158927,0.035258,0.222,0.029632124,,feature_374,0.04,0.04,0.22,0.03
feature_375,0.041393476,0.035068,0.22467,0.030107555,,feature_375,0.04,0.04,0.22,0.03
feature_376,0.041580309,0.034764,0.22709,0.030489429,,feature_376,0.04,0.03,0.23,0.03
feature_377,0.041821393,0.035001,0.23039,0.031051631,,feature_377,0.04,0.04,0.23,0.03
feature_378,0.042077463,0.035279,0.23509,0.031275248,,feature_378,0.04,0.04,0.24,0.03
feature_379,0.042480745,0.034868,0.2347,0.03195139,,feature_379,0.04,0.03,0.23,0.03
feature_380,0.042837894,0.034818,0.23128,0.032477857,,feature_380,0.04,0.03,0.23,0.03
feature_381,0.043022798,0.035467,0.23111,0.033325729,,feature_381,0.04,0.04,0.23,0.03
feature_382,0.044010987,0.036905,0.23457,0.03368462,,feature_382,0.04,0.04,0.23,0.03
feature_383,0.044477789,0.036682,0.23686,0.034178373,,feature_383,0.04,0.04,0.24,0.03
feature_384,0.044856293,0.037133,0.24132,0.034431172,,feature_384,0.04,0.04,0.24,0.03
feature_385,0.045299862,0.037071,0.23473,0.034549824,,feature_385,0.05,0.04,0.23,0.03
feature_386,0.045602942,0.037798,0.23251,0.035108701,,feature_386,0.05,0.04,0.23,0.04
feature_387,0.045733471,0.036784,0.24049,0.035740169,,feature_387,0.05,0.04,0.24,0.04
feature_388,0.046185,0.037021,0.24002,0.03609322,,feature_388,0.05,0.04,0.24,0.04
feature_389,0.046603924,0.038143,0.24068,0.036710704,,feature_389,0.05,0.04,0.24,0.04
feature_390,0.047126705,0.038464,0.24389,0.037050448,,feature_390,0.05,0.04,0.24,0.04
feature_391,0.047756925,0.039875,0.24628,0.037635426,,feature_391,0.05,0.04,0.25,0.04
feature_392,0.048278043,0.04027,0.248,0.038147843,,feature_392,0.05,0.04,0.25,0.04
feature_393,0.048869036,0.041038,0.24146,0.038788656,,feature_393,0.05,0.04,0.24,0.04
feature_394,0.049772284,0.041921,0.24209,0.038996687,,feature_394,0.05,0.04,0.24,0.04
feature_395,0.050144214,0.040884,0.242,0.039720775,,feature_395,0.05,0.04,0.24,0.04
feature_396,0.050194034,0.040425,0.23402,0.040148615,,feature_396,0.05,0.04,0.23,0.04
feature_397,0.05035936,0.040741,0.23845,0.040460897,,feature_397,0.05,0.04,0.24,0.04
feature_398,0.050822342,0.040293,0.23737,0.040782184,,feature_398,0.05,0.04,0.24,0.04
feature_399,0.051280787,0.042174,0.24705,0.040775658,,feature_399,0.05,0.04,0.25,0.04
feature_400,0.051762999,0.041359,0.24169,0.041174837,,feature_400,0.05,0.04,0.24,0.04
feature_401,0.052584071,0.042865,0.24765,0.041691585,,feature_401,0.05,0.04,0.25,0.04
feature_402,0.053446776,0.043543,0.25273,0.041901552,,feature_402,0.05,0.04,0.25,0.04
feature_403,0.054120167,0.04432,0.2541,0.041972146,,feature_403,0.05,0.04,0.25,0.04
feature_404,0.054580844,0.043696,0.25476,0.042280828,,feature_404,0.05,0.04,0.25,0.04
feature_405,0.055412486,0.043919,0.248902106,0.042751869,,feature_405,0.06,0.04,0.25,0.04
feature_406,0.056339572,0.045265,0.24104,0.04276553,,feature_406,0.06,0.05,0.24,0.04
feature_407,0.056736387,0.044928,0.23827,0.043109347,,feature_407,0.06,0.04,0.24,0.04
feature_408,0.057262804,0.045057,0.25184,0.043391535,,feature_408,0.06,0.05,0.25,0.04
feature_409,0.057828888,0.046427,0.25955,0.043526047,,feature_409,0.06,0.05,0.26,0.04
feature_410,0.05889243,0.047475,0.25753,0.043276391,,feature_410,0.06,0.05,0.26,0.04
feature_411,0.058792574,0.047356,0.26862,0.043911063,,feature_411,0.06,0.05,0.27,0.04
feature_412,0.058987159,0.04893,0.28078,0.044361998,,feature_412,0.06,0.05,0.28,0.04
feature_413,0.060015335,0.049444,0.31782,0.044935644,,feature_413,0.06,0.05,0.32,0.04
feature_414,0.060223712,0.049719,0.33564,0.045670585,,feature_414,0.06,0.05,0.34,0.05
feature_415,0.060583095,0.05093,0.33581,0.046306511,,feature_415,0.06,0.05,0.34,0.05
feature_416,0.062025551,0.052705,0.36406,0.046623902,,feature_416,0.06,0.05,0.36,0.05
feature_417,0.06316018,0.052373,0.338756057,0.046955795,,feature_417,0.06,0.05,0.34,0.05
feature_418,0.064457239,0.0542,0.33595,0.046689825,,feature_418,0.06,0.05,0.34,0.05
feature_419,0.064645423,0.055635,0.29478,0.046887619,,feature_419,0.06,0.06,0.29,0.05
feature_420,0.06485338,0.0544,0.29216,0.047547329,,feature_420,0.06,0.05,0.29,0.05
feature_421,0.065622105,0.055159,0.28484,0.047306652,,feature_421,0.07,0.06,0.28,0.05
feature_422,0.065772118,0.056591,0.28996,0.048314518,,feature_422,0.07,0.06,0.29,0.05
feature_423,0.066135901,0.058424,0.29395,0.049139695,,feature_423,0.07,0.06,0.29,0.05
feature_424,0.067495261,0.059236,0.30268,0.049631273,,feature_424,0.07,0.06,0.3,0.05
feature_425,0.069739129,0.062481,0.32983,0.050289829,,feature_425,0.07,0.06,0.33,0.05
feature_426,0.071131998,0.064707,0.2767,0.050494549,,feature_426,0.07,0.06,0.28,0.05
feature_427,0.071970283,0.065623,0.28151,0.051598349,,feature_427,0.07,0.07,0.28,0.05
feature_428,0.07304238,0.066756,0.31446,0.054075678,,feature_428,0.07,0.07,0.31,0.05
feature_429,0.075101216,0.068704,0.32868,0.05550384,,feature_429,0.08,0.07,0.33,0.06
feature_430,0.076387195,0.068724,0.33589,0.056484257,,feature_430,0.08,0.07,0.34,0.06
feature_431,0.077218599,0.068921,0.34651,0.05775935,,feature_431,0.08,0.07,0.35,0.06
feature_432,0.077726583,0.06971,0.44173,0.059625016,,feature_432,0.08,0.07,0.44,0.06
feature_433,0.078881866,0.072949,0.50764,0.061985064,,feature_433,0.08,0.07,0.51,0.06
label,,,,,,label,0,0,0,0
